,id1,id2,r1,r2,name1,name2,lev_dis,similarity
0,2147343253,2787518297,6,138,Daniel A. Keim,Daniel A. Keim,0.0,1.0
1,2076420186,2012282979,31,401,Sheelagh Carpendale,Sheelagh Carpendale,0.0,1.0
2,2122885999,2587117155,149,944,Takashi Yamane,Takashi Yamane,0.0,1.0
3,2003408012,2664555836,611,760,Shinzaburo Umeda,Shinzaburo Umeda,0.0,1.0
8,2762167099,432232642,148,234,Eduard Gr̦ller,M. Eduard Gr̦ller,0.09090909090909091,1.0
58,2158935544,2317229737,78,143,Jarke J. van Wijk,J.J. van Wijk,0.16666666666666666,0.9090909090909091
