authorID,rank,name,PaperCount,CitationCount,PaperCount_field,authorRank,CitationCount_field,hIndex_field,FellowType
1400123007,15038,Konstantinos Kontis,260,1922,25,616,297,11,
1429185800,15109,Anders Ynnerman,192,2227,59,103,654,13,
2162237831,14205,Klaus Mueller,275,5534,88,40,1263,20,
2571495213,13120,Min Chen,868,21779,104,25,1953,22,
1235285878,15460,Xavier Tricoche,87,1906,57,116,1109,16,
2087252583,13418,John Stasko,279,12060,123,12,6256,35,
2093104212,13789,Tobias HÃ¶llerer,245,6320,34,303,603,13,
194314948,15852,Gilles Halin,136,379,24,671,119,6,
1949160300,14369,Yassin A. Hassan,479,2804,45,173,590,12,
2030276371,16276,Sylvain Kubicki,93,306,22,786,110,6,
2044057687,14659,Gerik Scheuermann,257,3467,125,11,2220,29,
2056576592,14227,Dimitrios Tzovaras,518,3530,39,232,143,8,
2113582855,15603,Charl P. Botha,123,1015,55,122,540,12,
2151081949,14937,Frits H. Post,123,3051,63,87,2165,23,
2158171975,14183,Harald C. Gall,203,6688,24,645,798,13,
2169356058,15197,Alberto Raposo,221,1046,32,355,151,7,
335874646,14710,Martin Pinzger,121,3893,21,835,747,11,
139560512,14177,Vaclav Snasel,649,4123,22,780,121,6,
170241628,15300,Alfredo Vellido,168,1765,30,400,201,6,
2037917844,15399,Yuzuru Tanaka,162,1042,25,602,108,7,
2113934472,14226,Gregory M. Nielson,109,3650,34,298,666,14,
2289128761,13784,Roberto Scopigno,292,7785,55,123,1452,20,
2027979619,15033,Roberto Tagliaferri,238,2216,20,984,119,4,
618659213,14507,Dieter W. Fellner,380,2583,43,195,350,11,
668764113,11870,Ben Shneiderman,758,49467,104,24,13113,40,1
2005110205,15314,Ken Brodlie,82,1770,45,174,1194,17,
2021322682,13132,Michael Batty,745,18052,20,982,414,10,
2023471731,16409,Lucio Tommaso De Paolis,77,390,22,785,122,5,
2101507671,14499,Cristina Conati,172,4470,26,556,513,11,
155781915,14597,Emilio Corchado,340,3636,48,157,492,10,
2017897688,15761,Daniel Archambault,79,1298,27,529,396,10,
2019835715,16377,Romain Bourqui,66,477,27,530,234,8,
2020036024,15687,Christoph Garth,99,1443,70,71,1159,19,
2032738043,13006,Peter Brusilovsky,504,18064,52,130,582,16,
2098528998,15591,David Auber,66,1645,33,338,701,12,
2110178573,15282,Tudor GÃ®rba,87,2547,21,854,669,11,
2170596006,15782,Ãlvaro Herrero,133,786,30,414,370,9,
2485163583,13797,Oscar Nierstrasz,383,7860,27,518,436,11,
2779206936,15023,Guy MelanÃ§on,101,2853,35,296,1689,10,
117518403,14865,Yasushi Kiyoki,352,878,28,479,22,3,
119326234,14692,Gabriel Wainer,341,2450,26,572,365,8,
1997693460,15521,Jean Hertzberg,114,1355,21,886,155,7,
2142123371,15415,Ross Maciejewski,141,1884,48,151,645,15,
2143063412,15420,Robert J. Moorhead,136,1208,71,70,653,11,
2913216944,14119,Haesun Park,221,7953,20,942,234,7,
2009834041,14652,Cathal Gurrin,322,2568,28,486,165,7,
2108305646,15592,Jaakko Peltonen,108,1291,25,604,588,9,
2132435563,13927,Noel E. OConnor,567,6029,47,162,504,12,
2133129399,15865,Carla M. D. S. Freitas,88,886,46,171,370,13,
2172294716,14836,Xiaopeng Zhang,233,2462,22,768,349,8,
2998626336,20235,W.Q. Chen,2,11,86,41,770,14,
2103920730,11775,Luc Van Gool,1185,63212,46,170,1328,16,
2165267828,12630,Geoffrey C. Fox,940,18599,25,587,279,9,
1916366858,15645,Roberto TherÃ³n,153,1001,50,141,415,11,
2074426352,14010,Ernst Rank,492,5996,29,451,253,7,
2114361001,13394,Helge Ritter,636,9737,22,759,332,10,
2147514866,14078,Chaomei Chen,230,8333,63,86,3641,22,
