2230366395,13801,Kazuyoshi Takayama,633,5476,66,83,580,14,\N
2373764766,16042,Quang Vinh Nguyen,110,530,65,84,383,8,\N
2424001649,15010,Gunther H. Weber,122,1868,65,85,727,15,\N
2111668110,15193,Petra Isenberg,112,2732,64,86,1940,24,\N
2147723296,15319,Xiaoru Yuan,140,2119,64,87,679,14,\N
2111177146,14756,Shixia Liu,162,4354,63,88,2341,25,\N
220305330,14549,Martin J. Eppler,317,4298,63,89,888,13,\N
2151081949,14937,Frits H. Post,123,3051,63,90,2165,23,\N
2147514866,14078,Chaomei Chen,230,8333,63,91,3641,22,\N
2101761023,15553,Nan Cao,116,1578,62,92,959,17,\N
2131773813,14578,Deborah Silver,135,4016,62,93,2360,18,\N
2143783256,14291,Katy BÃ¶rner,242,6035,62,94,1243,17,\N
292280582,15391,Timo Ropinski,163,1505,62,95,755,14,\N
2208814380,15649,Chaoli Wang,104,1390,62,96,701,14,\N
2114960163,14463,Yoshifuru Saito,354,860,61,97,25,3,\N
689294964,13010,Umeshwar Dayal,351,15127,61,98,1033,19,1
2155481213,15540,Achim Ebert,178,657,61,99,348,10,\N
2133897809,14030,Sang Joon Lee,569,6821,61,100,901,17,\N
2119202230,15348,Daniel F. Keefe,156,1420,60,101,727,15,\N
2030366862,15286,Christopher G. Healey,106,2123,60,102,1690,20,\N
2023608286,15329,Remco Chang,119,2102,60,103,1189,21,\N
2160611799,15510,Rong Fung Huang,123,1484,59,104,636,14,\N
2139883648,14905,Vineet R. Kamat,198,2605,59,105,1305,23,\N
1770354363,15497,Christophe Hurter,147,1379,59,106,1026,17,\N
327243226,15195,Robert Kosara,82,2400,59,107,1939,23,\N
2015235164,15033,Alex Pang,110,2390,59,108,1697,21,\N
1429185800,15109,Anders Ynnerman,192,2227,59,109,654,13,\N
2063125263,16418,Andrew Vande Moere,74,421,59,110,1054,16,\N
2135052836,12533,Hans Peter Seidel,1187,31610,58,111,1874,23,\N
2153352774,15370,Beatriz Sousa Santos,194,1220,58,112,303,7,\N
2129763075,13290,Richard A. Robb,430,9931,58,113,1355,15,\N
323429155,14373,Jos B. T. M. Roerdink,329,4449,58,114,517,12,\N
2102429099,14522,Matthew O. Ward,142,4368,58,115,2373,22,\N
272170598,15507,Alex Endert,101,1746,57,116,1224,20,\N
544170546,14397,Tamara Munzner,118,5526,57,117,2932,26,\N
1235285878,15460,Xavier Tricoche,87,1906,57,118,1109,16,\N
2030906650,13476,Jannick P. Rolland,542,9340,57,119,1185,17,\N
2158434997,13554,Colin Ware,260,9784,56,120,3940,21,\N
2034849075,13428,Thomas A. DeFanti,177,6835,56,121,2857,19,1
2163751157,14852,Koji Okamoto,293,1527,56,122,292,6,\N
2117564997,15414,Stefan Bruckner,120,1918,55,123,940,16,\N
2113582855,15603,Charl P. Botha,123,1015,55,124,540,12,\N
2289128761,13784,Roberto Scopigno,292,7785,55,125,1452,20,\N
2101266097,15588,Yingcai Wu,94,1885,54,126,1198,15,\N
2163374114,15091,Pak Chung Wong,101,2413,54,127,959,16,\N
2166292476,14587,Falk Schreiber,203,4963,54,128,1276,15,\N
2296898667,15552,Rosane Minghim,108,1824,53,129,715,12,\N
36542275,13139,Jayaram K. Udupa,443,13619,53,130,948,15,\N
2032738043,13006,Peter Brusilovsky,504,18064,52,131,582,16,\N
74604451,14233,Oliver Deussen,256,5817,52,132,991,16,\N
1993881951,15830,Filip Sadlo,98,1125,52,133,389,11,\N
2157743775,12883,Hsinchun Chen,829,24466,52,134,1733,20,1
2100559988,14239,Michitaka Hirose,461,2604,52,135,496,8,\N
2070382900,15138,JÃ¶rn Kohlhammer,140,2376,52,136,577,12,\N
2006893438,13676,Chandrajit L. Bajaj,390,8879,52,137,1197,17,1
2289975239,12963,Markus Gross,552,22483,51,138,798,17,\N
2310357739,15518,Kiyoshi Horii,196,187,51,139,11,2,\N
2116717946,13744,Qingming Huang,550,8604,50,140,1406,18,\N
1995659342,13747,Donald Rockwell,302,7688,50,141,856,16,\N
1916366858,15645,Roberto TherÃ³n,153,1001,50,142,415,11,\N
1975749114,15137,Falko Kuester,174,1538,50,143,480,12,\N
2123005041,14121,Bruce H. Thomas,266,4393,49,144,684,16,\N
2046772540,14496,Enrico Gobbetti,221,3661,49,145,784,15,\N
2064750564,14689,Stephan Diehl,163,3721,49,146,901,15,\N
2085846229,15197,Peter Hastreiter,108,2715,49,147,1275,18,\N
2110484598,14058,Doug A. Bowman,218,7676,49,148,1938,21,\N
2142123371,15415,Ross Maciejewski,141,1884,48,149,645,15,\N
2311088539,14067,John Grundy,481,5920,48,150,398,10,\N
735013031,14837,Simeon J. Simoff,282,2011,48,151,270,9,\N
336473884,13710,Peter Eades,218,8616,48,152,2707,15,\N
2032593886,16077,Naohisa Sakamoto,105,322,48,153,108,4,\N
2004445387,15202,Tom Peterka,131,1747,48,154,770,15,\N
155781915,14597,Emilio Corchado,340,3636,48,155,492,10,\N
2172094290,12776,George G. Robertson,206,16846,48,156,4177,24,1
2132435563,13927,Noel E. OConnor,567,6029,47,157,504,12,\N
2017983725,14867,Christopher D. Hundhausen,103,2659,47,158,2090,23,\N
1971971201,15429,Christian Tominski,69,2324,47,159,2114,20,\N
2537308940,15717,Jian Huang,79,1172,47,160,439,14,\N
2113528437,14450,Danyel Fisher,135,5218,47,161,2121,22,\N
2057155413,15305,Markus Hadwiger,122,2102,47,162,740,15,\N
1985594367,15420,Kenneth Moreland,89,1505,46,163,817,12,\N
2026169623,15241,Penny Rheingans,83,2288,46,164,1486,20,\N
2303263319,16377,Theresa Marie Rhyne,56,413,46,165,291,9,\N
2232251205,14469,Toshio Kobayashi,352,2985,46,166,454,11,\N
2121069363,12773,Wen Gao,1262,23751,46,167,983,18,\N
2103920730,11775,Luc Van Gool,1185,63212,46,168,1328,16,\N
2133129399,15865,Carla M. D. S. Freitas,88,886,46,169,370,13,\N
1666292634,15283,Wolfgang Aigner,121,2211,46,170,1453,18,\N
2087690876,16369,Michael Krone,66,663,45,171,515,12,\N
2078060999,15647,Michael Sedlmair,81,1586,45,172,1149,17,\N
2005110205,15314,Ken Brodlie,82,1770,45,173,1194,17,\N
1949160300,14369,Yassin A. Hassan,479,2804,45,174,590,12,\N
